Date : 2024-01-05 22:14:14
Directory : c:\Users\F13RR0\Desktop\ProyectoWEB-archivo\Proyecto-WEB-2-master
Total : 216 files,  23513 codes, 989 comments, 2581 blanks, all 27083 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          5 |     14,159 |          2 |          5 |     14,166 |
| TypeScript         |        132 |      4,540 |        371 |      1,247 |      6,158 |
| CSS                |         38 |      3,137 |        337 |        955 |      4,429 |
| HTML               |         38 |      1,614 |        278 |        359 |      2,251 |
| JSON with Comments |          2 |         49 |          1 |          1 |         51 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        216 |     23,513 |        989 |      2,581 |     27,083 |
| . (Files)                                                                                                                                     |          7 |     14,205 |          3 |         20 |     14,228 |
| src                                                                                                                                           |        209 |      9,308 |        986 |      2,561 |     12,855 |
| src (Files)                                                                                                                                   |          3 |         23 |          1 |          7 |         31 |
| src\app                                                                                                                                       |        206 |      9,285 |        985 |      2,554 |     12,824 |
| src\app (Files)                                                                                                                               |          8 |        724 |         31 |        154 |        909 |
| src\app\acceso-puerta                                                                                                                         |          6 |        152 |          7 |         48 |        207 |
| src\app\acuerdos                                                                                                                              |          7 |        265 |         56 |         88 |        409 |
| src\app\acuerdos-usuarios                                                                                                                     |          4 |        106 |          1 |         20 |        127 |
| src\app\administracion                                                                                                                        |          4 |         65 |          3 |         17 |         85 |
| src\app\agregar-usuario                                                                                                                       |          4 |        189 |         27 |         47 |        263 |
| src\app\consultar-acuerdos                                                                                                                    |          4 |        209 |         39 |         57 |        305 |
| src\app\consultar-notificaciones                                                                                                              |          7 |        287 |         32 |         69 |        388 |
| src\app\consultar-propiedades                                                                                                                 |          4 |        215 |          3 |         51 |        269 |
| src\app\cuenta                                                                                                                                |          7 |        372 |         12 |        115 |        499 |
| src\app\deudas-extraordinarias                                                                                                                |          4 |        236 |          2 |         82 |        320 |
