Date : 2024-11-03 21:59:27
Directory : c:\Users\default.LAPTOP-SHPJT9PE\Desktop\Tesis-01NOV\Proyecto-WEB-2-master\src\app
Total : 301 files,  24100 codes, 2406 comments, 8983 blanks, all 35489 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        193 |     10,481 |        830 |      3,066 |     14,377 |
| CSS                |         52 |      9,672 |        837 |      4,115 |     14,624 |
| HTML               |         51 |      3,240 |        712 |      1,471 |      5,423 |
| SCSS               |          3 |        689 |         27 |        331 |      1,047 |
| JSON with Comments |          1 |         17 |          0 |          0 |         17 |
| XML                |          1 |          1 |          0 |          0 |          1 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |        301 |     24,100 |      2,406 |      8,983 |     35,489 |
| . (Files)                                                                                                                                                    |         10 |      1,498 |        152 |        523 |      2,173 |
| acceso-puerta                                                                                                                                                |          6 |        229 |         22 |         73 |        324 |
| acuerdos                                                                                                                                                     |          7 |        278 |         12 |        103 |        393 |
| acuerdos-usuarios                                                                                                                                            |          4 |        293 |        143 |        135 |        571 |
| administracion                                                                                                                                               |          4 |         65 |          3 |         17 |         85 |
| agregar-usuario                                                                                                                                              |          7 |      1,116 |         81 |        515 |      1,712 |
| consultar-acuerdos                                                                                                                                           |          6 |        589 |         34 |        300 |        923 |
| consultar-deudas                                                                                                                                             |          4 |        388 |         43 |        118 |        549 |
| consultar-notificaciones                                                                                                                                     |          7 |        688 |         51 |        323 |      1,062 |
| consultar-propiedades                                                                                                                                        |          4 |        633 |         42 |        215 |        890 |
| consultar-usuarios-tesorero                                                                                                                                  |          4 |        235 |         29 |         53 |        317 |
| cuenta                                                                                                                                                       |         10 |        875 |         42 |        363 |      1,280 |
| deudas                                                                                                                                                       |          4 |        860 |         43 |        302 |      1,205 |
| deudas-extraordinarias                                                                                                                                       |          4 |        234 |          4 |         82 |        320 |
| deudas-ordinarias                                                                                                                                            |          4 |        394 |          9 |        121 |        524 |
| deudores                                                                                                                                                     |          4 |        557 |         65 |        245 |        867 |
| editar-cuenta                                                                                                                                                |          6 |        693 |         41 |        259 |        993 |
| egresos                                                                                                                                                      |          8 |        822 |         24 |        307 |      1,153 |
| email                                                                                                                                                        |          4 |         42 |          0 |         15 |         57 |
| footer                                                                                                                                                       |          2 |        100 |          3 |         20 |        123 |
| fraccionamientos                                                                                                                                             |          4 |        618 |         22 |        264 |        904 |
| grupos                                                                                                                                                       |          5 |        714 |         30 |        260 |      1,004 |
| historial-deudas                                                                                                                                             |          8 |        220 |          8 |         44 |        272 |
| home                                                                                                                                                         |          6 |        774 |         98 |        295 |      1,167 |
| home-usuarios                                                                                                                                                |          4 |        671 |         32 |        331 |      1,034 |
| ingresos                                                                                                                                                     |          4 |        930 |         99 |        341 |      1,370 |
| ingresos-extraordinarios                                                                                                                                     |         12 |        634 |         18 |        172 |        824 |
| ingresos-ordinarios                                                                                                                                          |          6 |        467 |         31 |        149 |        647 |
| inicio-sesion                                                                                                                                                |          4 |        538 |         35 |        165 |        738 |
| inquilinos                                                                                                                                                   |          4 |         64 |        221 |         26 |        311 |
| invitacion                                                                                                                                                   |         12 |        575 |         30 |        191 |        796 |
| loading-spinner                                                                                                                                              |          6 |         85 |          1 |         25 |        111 |
| mis-deudas                                                                                                                                                   |          4 |        285 |         24 |         87 |        396 |
| modelos                                                                                                                                                      |          9 |        344 |          2 |         64 |        410 |
| no-encontrado                                                                                                                                                |          4 |         54 |          1 |         23 |         78 |
| not-found                                                                                                                                                    |          4 |         26 |          0 |         10 |         36 |
| notificaciones                                                                                                                                               |         11 |        416 |         69 |        121 |        606 |
| notificaciones-service                                                                                                                                       |          2 |         34 |          0 |         11 |         45 |
| notificaciones-usuarios                                                                                                                                      |          4 |        357 |         64 |        132 |        553 |
| panel-principal-admin                                                                                                                                        |          6 |        350 |         23 |        204 |        577 |
| panel-principal-tesorero                                                                                                                                     |          4 |        295 |         41 |        123 |        459 |
| panel-principal-user                                                                                                                                         |          4 |        295 |         67 |        190 |        552 |
| pase-temporal                                                                                                                                                |          4 |        381 |         16 |        117 |        514 |
